epoch,loss,output_0_loss,output_1_loss,output_2_loss,output_3_loss,val_loss,val_output_0_loss,val_output_1_loss,val_output_2_loss,val_output_3_loss
2,0.003994624596089125,0.0026492576580494642,0.0005593345849774778,0.00031629923614673316,0.0002348673006054014,0.021371478214859962,0.004646483343094587,0.004290134645998478,0.004275089595466852,0.00407988578081131
3,0.003539842553436756,0.002302088076248765,0.0004993801703676581,0.0002959073754027486,0.0002212335675721988,0.02120262011885643,0.0046555884182453156,0.004203896038234234,0.0041794804856181145,0.004081827588379383
4,0.0030559718143194914,0.0019233754137530923,0.0004398674936965108,0.00027459306875243783,0.0002090687194140628,0.02153407596051693,0.004618250764906406,0.004364331718534231,0.0042677829042077065,0.004141855053603649
5,0.0026688564103096724,0.0015936554409563541,0.00040864391485229135,0.00026360637275502086,0.000201475340873003,0.021539730951189995,0.004590013530105352,0.004309409763664007,0.004285278730094433,0.004177514463663101
6,0.002294898731634021,0.0013051729183644056,0.00036808897857554257,0.00024212116841226816,0.0001897575129987672,0.021179797127842903,0.004573227372020483,0.004242560360580683,0.004196653142571449,0.004083678126335144
7,0.0020474360790103674,0.0011020575184375048,0.0003445307957008481,0.00023466837592422962,0.00018309001461602747,0.02169002778828144,0.004632406868040562,0.004352266434580088,0.004312694538384676,0.004196329973638058
8,0.0017844532849267125,0.0009110044338740408,0.0003127093950752169,0.00021806136646773666,0.00017133956134784967,0.021604744717478752,0.00460501853376627,0.0043497635051608086,0.004273345228284597,0.004188308492302895
9,0.0016350311925634742,0.0007895059534348547,0.0002988206979352981,0.00021075134282000363,0.00016797694843262434,0.021366553381085396,0.00462081516161561,0.004249699413776398,0.004217383451759815,0.004139328841120005
10,0.0015178602188825607,0.0006962830084376037,0.0002877216902561486,0.00020583474542945623,0.00016401034372393042,0.02135137841105461,0.004562114365398884,0.0043187253177165985,0.00419247429817915,0.004139033146202564
11,0.0013785010669380426,0.0006072765099816024,0.00026664527831599116,0.00019323077867738903,0.00015567433729302138,0.021580737084150314,0.004601780790835619,0.004312420729547739,0.0042566838674247265,0.004204924684017897
12,0.0012725028209388256,0.0005361104849725962,0.000251080869929865,0.00018546268984209746,0.00014992427895776927,0.021336685866117477,0.004583516623824835,0.0042242631316185,0.00421567726880312,0.0041566151194274426
13,0.0011928969761356711,0.0004852907150052488,0.00023975607473403215,0.00017733134154696018,0.0001452593132853508,0.02132542058825493,0.0045229485258460045,0.004246708005666733,0.004214128013700247,0.004170817323029041
14,0.0011250112438574433,0.0004400370526127517,0.00022945937234908342,0.00017232037498615682,0.00014159720740281045,0.021266642957925797,0.0045387838035821915,0.004216568544507027,0.004225966054946184,0.004142661578953266
15,0.001065284013748169,0.0004022408393211663,0.00022041633201297373,0.00016681566194165498,0.00013790598313789815,0.02122916653752327,0.0045846798457205296,0.004195197485387325,0.004206178709864616,0.00412155594676733
16,0.0010042142821475863,0.0003699235094245523,0.00020888380822725594,0.00016038396279327571,0.0001325117627857253,0.021549712866544724,0.004579178523272276,0.004268741700798273,0.0042518554255366325,0.004224968608468771
17,0.0009678470087237656,0.0003501150058582425,0.00020314611901994795,0.0001552104949951172,0.00012968757073394954,0.021500833332538605,0.004578032996505499,0.004267290700227022,0.004261014051735401,0.004197246395051479
18,0.0009290354209952056,0.00032753177220001817,0.00019405123020987958,0.00015215562598314136,0.00012764855637215078,0.021358678117394447,0.004517228342592716,0.004254639148712158,0.004214578308165073,0.00418611615896225
19,0.000893397897016257,0.000310005183564499,0.00018886888574343175,0.00014702479529660195,0.00012374964717309922,0.02153126709163189,0.004535145126283169,0.004334687255322933,0.004255599807947874,0.0042029195465147495
20,0.0008697289740666747,0.0002970033383462578,0.00018352812912780792,0.00014465977437794209,0.00012226882972754538,0.02148301713168621,0.004549049772322178,0.004228385165333748,0.004251576028764248,0.00422700447961688
21,0.0008463278645649552,0.0002829779405146837,0.0001795916468836367,0.00014179933350533247,0.00012097953731426969,0.021427450701594353,0.004522715229541063,0.00423066783696413,0.004229628946632147,0.004222219344228506
22,0.0008251999970525503,0.00027418218087404966,0.0001752909302012995,0.00013877580931875855,0.00011847557470900938,0.02129015326499939,0.004501037765294313,0.004220123402774334,0.004200301133096218,0.004184344317764044
23,0.0007918491610325873,0.0002590340154711157,0.00016794104885775596,0.00013455789303407073,0.00011515829828567803,0.02148566022515297,0.004547446500509977,0.0042863753624260426,0.004243834875524044,0.004204001743346453
24,0.0007653434877283871,0.0002464257413521409,0.00016302829317282885,0.00013094392488710582,0.00011247279326198623,0.021430647000670433,0.004460563883185387,0.004260123707354069,0.004235628992319107,0.004237164743244648
