epoch,loss,output_0_loss,output_1_loss,output_2_loss,output_3_loss,val_loss,val_output_0_loss,val_output_1_loss,val_output_2_loss,val_output_3_loss
0,0.2696387469768524,0.07816742360591888,0.06576582044363022,0.04508872702717781,0.0403083972632885,0.06664155423641205,0.017191503196954727,0.015848517417907715,0.01172721665352583,0.010937153361737728
1,0.036381129175424576,0.008506656624376774,0.008181806653738022,0.006593694910407066,0.00654948502779007,0.029606405645608902,0.007300034165382385,0.006272259168326855,0.005477770231664181,0.005278169643133879
2,0.026749344542622566,0.005761346779763699,0.005664465017616749,0.005268373526632786,0.005027575418353081,0.025283629074692726,0.005625489167869091,0.0051617613062262535,0.0049593267031013966,0.0047685252502560616
3,0.0220810417085886,0.005122587084770203,0.00509337754920125,0.004850058350712061,0.0035075123887509108,0.024134228006005287,0.0051454054191708565,0.0048943860456347466,0.00468938983976841,0.004702522419393063
4,0.01856229454278946,0.004867002367973328,0.004786932375282049,0.004381551872938871,0.0022634014021605253,0.02301165461540222,0.00491711962968111,0.00472929235547781,0.004538607317954302,0.004413317888975143
5,0.016503408551216125,0.004742608405649662,0.004589375574141741,0.003746679052710533,0.0017123667057603598,0.02276042476296425,0.004901736509054899,0.004684493876993656,0.004584920592606068,0.004294635262340307
6,0.014466415159404278,0.004681988153606653,0.004442484118044376,0.0027751720044761896,0.0012833878863602877,0.022421658039093018,0.004757859278470278,0.004613636992871761,0.004578016698360443,0.004236073233187199
7,0.01231417991220951,0.004579234402626753,0.004140813834965229,0.0018724068067967892,0.000860859639942646,0.02226972207427025,0.00468500005081296,0.00455819396302104,0.004546853713691235,0.004239838570356369
8,0.010824023745954037,0.004500157665461302,0.0037212977185845375,0.001325536402873695,0.0006385164451785386,0.0220869742333889,0.004657937679439783,0.0045719388872385025,0.004465829115360975,0.004195633810013533
9,0.009667078964412212,0.004416707903146744,0.0031768858898431063,0.0010303399758413434,0.0005215730052441359,0.021936647593975067,0.0046587116084992886,0.0044829403050243855,0.0044990056194365025,0.004147994797676802
10,0.008520622737705708,0.004309594631195068,0.002488525817170739,0.0008278819732367992,0.00044730838271789253,0.02173631452023983,0.004654244519770145,0.004400394856929779,0.00441303476691246,0.004134318791329861
11,0.00750415213406086,0.004167980048805475,0.0019045235821977258,0.0006648777052760124,0.00038338484591804445,0.021870508790016174,0.004670301917940378,0.004428029526025057,0.004393634852021933,0.004189269617199898
12,0.00668724812567234,0.003994581289589405,0.0014564348384737968,0.0005466285510919988,0.00034480122849345207,0.021707484498620033,0.0046534547582268715,0.004400723613798618,0.004383269231766462,0.00413501774892211
13,0.006020601373165846,0.003794909454882145,0.00113294692710042,0.0004645336593966931,0.00031410501105710864,0.021582726389169693,0.0046425750479102135,0.004339268431067467,0.004343816544860601,0.004128533415496349
14,0.0054536848329007626,0.0035512603353708982,0.0009135950822383165,0.0004133889451622963,0.0002877206134144217,0.02157469280064106,0.004618807230144739,0.0043481942266225815,0.004311787895858288,0.004147951025515795
0,0.004925406537950039,0.0032682642340660095,0.0007545963162556291,0.00037183056701906025,0.0002653574338182807,0.02143918164074421,0.004636142402887344,0.004376181401312351,0.004290602169930935,0.004068128298968077
1,0.004451869986951351,0.0029698966536670923,0.0006381883285939693,0.0003437164123170078,0.000250033539487049,0.02151085063815117,0.004656639881432056,0.004322935361415148,0.004300648346543312,0.004115315154194832
